,0,1,2,3,4,5,6,7
0,0.0,0.0,0.522933102871029,0.0,0.7093076374168991,0.8973874812252379,0.8123997099491774,0.9633883364234543
1,0.3261751447004249,0.0,0.7374923499259769,0.8109099286386683,0.2246379590593901,0.45735842850807085,0.9062502212520986,
2,0.0,0.874637120732511,0.8225462996311647,0.7167373923901971,0.9122163597823859,0.0,0.9553899529984088,
3,0.0,0.7894565483777451,0.17317656035851559,0.10465577797394389,0.03383481078702898,,0.9051961408516197,
4,0.27157536978285995,0.8544883335802265,0.5055975705760636,0.692105264927951,0.7327133121134236,0.0,0.9405941680468513,
5,0.1745982397476613,0.872243099033349,0.09337890856651203,0.7031743059371481,,0.9062502212520986,0.9381728527949449,
6,0.7753684792408715,0.8018444855065467,0.0,0.2625360518514573,0.49983557607758405,0.9381728527949449,0.9399324330221859,0.0
7,0.7745359778614087,0.8427609392637937,,0.7993549118033609,0.0,0.12567848971251264,,0.9288804035885622
8,0.6687497029242678,0.8641196351098996,0.0,0.6133050741135624,0.5085811607986407,0.36886762940951906,0.9428163198469912,0.9443566353855063
9,0.0,0.7735580403559635,0.3764424919083896,0.0,0.07452205597257908,0.9051726583678893,0.7895397987294214,
10,0.17719862580331575,0.8669436601547066,0.1680940199362569,0.4305554066855635,0.6694329702420444,0.4083766610448645,0.9051726583678893,0.9454601801285798
11,0.0,0.05868838581002279,0.5936494933793687,0.4644591370581073,0.9094381221917625,,0.19613148048019283,0.9175069527925701
12,0.6461056638000232,0.7993549118033609,0.011298555607068505,0.2094655315901423,0.8714174317280549,0.12026073944133914,0.9545883013732178,0.9659358738833921
13,0.0,0.7347446475223867,0.10030993782459245,0.6204784486223396,0.8189746320423256,0.1874645641239186,0.9602330030234792,0.5680977928129513
14,0.44320725835009744,0.896202205844042,0.4191475599942647,0.0,0.7410392690290557,0.0,0.9083794874568845,
15,0.6529966315299013,0.7994717473795888,0.45373233605284174,0.8204433503740125,0.0,0.9051961408516197,,0.7319881576814868
16,0.6597228746504563,,0.018330102821713063,0.4999594541135825,0.9051726583678893,,0.9210630736638845,0.10833043129304108
17,0.6631640426243888,0.867127276286779,0.35753441026854227,0.5979396649424464,0.7895397987294214,0.8123997099491774,0.9048296530878377,0.911653845792195
18,0.1366242977371152,0.8074633856853667,0.014153272908170453,0.47648534435761325,0.9428163198469912,,0.9538301266904096,0.9574756932794009
19,0.0711005603199736,0.0,0.3750851851510154,0.6934324900863948,0.9428341215286666,0.5436929325569679,0.9406015725978619,0.8051011076013129
20,0.37457929149211305,0.808253981158176,0.5390159249925908,0.8641196351098996,0.37603761320743073,,0.9411773042006141,
21,0.6209508863592816,0.19003710389580278,0.5054509990147728,0.8427609392637937,,0.2513876333971719,0.934379480376785,0.3774683066340151
22,0.7989451033046276,0.8204433503740125,0.7085897094446324,0.0,0.6092369815321094,,0.8905767398592697,0.9521692119783219
23,0.6159459483287502,,0.0,0.8018444855065467,0.14402377821714799,0.0,0.8726644169066123,0.7442530737013134
24,0.6992780227442567,0.08626367411866606,0.011060312957339311,0.11832746120500197,0.7679010733633447,,0.926249821387355,0.8980798603297555
25,0.0,0.10465577797394389,0.4544789203595512,0.6377139228655069,0.19166878085833905,0.1809419815011837,0.4553618890818265,
26,0.0,,0.01897396385040072,0.47052025284149884,0.8593898552017925,0.9048296530878377,0.8382839957043737,0.12469561392113979
27,0.0,,0.2816699102258758,0.10902102577966827,,,0.9178331417979778,
28,0.6679940381632098,,0.3162988123075748,0.6135754412660186,0.4553618890818265,0.9142336039440648,0.8026734605030017,0.7981442028224219
29,0.36431458406110867,,0.25906615855323106,0.013927524505364086,0.1163644223409234,0.9383541761876687,,0.5556808041760793
30,0.6843774612416448,,0.0,0.0,0.9048296530878377,0.9411773042006141,0.9509486639429944,0.0
31,0.6024492821429649,,0.0,0.7619885427826716,0.7929890398966639,0.8026734605030017,0.9122163597823859,0.9266440013180836
32,0.6448912566558346,,0.42362144098399307,0.0,0.841813704395042,0.9465183015470677,,0.3492554005955602
33,0.0,,,0.0,0.8828345197136914,0.9488516580986399,0.8829719017514985,0.0
34,,,0.0,0.7129518793736737,0.9147237965083949,0.9561455210575944,0.9561455210575944,0.8348671735861778
35,0.555236366170686,,0.0,0.05374089150312325,0.9538301266904096,0.19309898537925138,0.7529039371903375,
36,0.05868838581002279,,0.4832894136481808,0.0,0.0839155231331371,0.9553899529984088,,0.7648782697126006
37,,,0.03908613335222018,0.0,0.45401107151068754,,0.9488516580986399,
38,,,0.15794884698553094,0.8522312320999875,0.9004851884613121,0.9210630736638845,0.9465183015470677,0.9003256960149715
39,,,0.0,0.8544883335802265,,0.9083794874568845,0.8613993583896798,
40,,,0.7355328570714618,0.8451903641202754,0.7102024770912817,0.9602330030234792,,
41,,,0.7285609562246661,0.12469561392113979,0.926249821387355,0.17951911999098527,0.9383541761876687,
42,,,0.5271708293249951,0.7735580403559635,0.9383541761876687,0.382926287492289,0.9392433053526098,
43,,,0.0,,0.9411773042006141,0.9140241182313814,0.0,
44,,,0.16204434423039707,0.2593899008635774,0.9399324330221859,,,
45,,,0.5827956654412888,0.8555981916291824,0.1763020808758828,0.8613993583896798,0.8973874812252379,
46,,,0.8196986293291579,0.0,0.9545883013732178,,0.9032356231499744,
47,,,0.5464841008361584,0.872243099033349,0.8442809828411344,0.04247232162753293,0.7410392690290557,
48,,,0.102640176288825,0.7682117877726062,0.8366519970794554,0.9538301266904096,0.8355121548142532,
49,,,0.3774153056425504,0.8722850480944976,0.9392433053526098,0.9545883013732178,,
50,,,0.34286520041294616,0.38119197574442565,0.7363809158444983,,0.9147237965083949,
51,,,0.020306454022245762,0.013558638137844472,,,0.5565894010402833,
52,,,0.5399182482273001,0.6406874100629778,0.2619121298428639,0.7408671691446904,0.9140241182313814,
53,,,0.7202406731706738,0.8403724156677828,,0.05260525722583245,0.8828345197136914,
54,,,0.0,0.21270289065089748,,0.17958962568363315,0.6118837869379005,
55,,,0.12200454190868648,0.8074633856853667,,0.926249821387355,,
56,,,0.5728192972669796,0.7825346250798283,,,0.9428341215286666,
57,,,0.4345643891981614,0.808253981158176,,0.9406015725978619,,
58,,,0.12629477176011858,0.6695482847094492,,,0.12567848971251264,
59,,,0.6766348326248731,0.6192386505672193,,0.0,,
60,,,0.2917900521267455,0.6775958281748394,,0.8726644169066123,,
61,,,,0.18282186534952238,,,,
62,,,,0.09196309603624132,,,,
63,,,,0.0,,0.0,,
64,,,,0.7913008067148489,,,,
65,,,,0.8255071930814903,,0.8729636656493432,,
66,,,,0.6732341809498203,,0.8905767398592697,,
67,,,,0.2220023241801507,,0.9399324330221859,,
68,,,,0.874637120732511,,0.8382839957043737,,
69,,,,0.4248116466152794,,0.16296478942747206,,
70,,,,0.8669436601547066,,,,
71,,,,0.2660738763042566,,0.9208388010553039,,
72,,,,0.4769336444113418,,0.9032356231499744,,
73,,,,0.7700995530403867,,0.879563042397936,,
74,,,,0.708392487405044,,0.9004851884613121,,
75,,,,0.7515278226034577,,0.9147237965083949,,
76,,,,0.0,,,,
77,,,,,,,,
78,,,,0.0,,,,
79,,,,0.7202406731706738,,,,
80,,,,0.25434443550846475,,,,
81,,,,0.3123413915556222,,,,
82,,,,0.6363070892301288,,,,
83,,,,0.7347446475223867,,,,
84,,,,0.8069038228524519,,,,
85,,,,0.16114098266686727,,,,
86,,,,0.8155643606803071,,,,
87,,,,0.8387885325824966,,,,
88,,,,0.132104501186516,,,,
89,,,,0.25967894315267587,,,,
90,,,,0.7994717473795888,,,,
91,,,,0.7422469788142932,,,,
92,,,,0.6485595089294021,,,,
93,,,,0.7884756654955055,,,,
94,,,,0.5424635871034238,,,,
95,,,,0.8221626105320988,,,,
96,,,,0.5621019417168198,,,,
97,,,,0.8745242895000421,,,,
98,,,,0.6601233787087769,,,,
99,,,,0.3764424919083896,,,,
100,,,,0.40576364722438735,,,,
101,,,,0.5055975705760636,,,,
102,,,,0.7640018758929348,,,,
103,,,,0.6430426721088102,,,,
104,,,,0.0,,,,
105,,,,0.867127276286779,,,,
106,,,,0.7123844368950635,,,,
107,,,,0.0,,,,
108,,,,0.0,,,,
109,,,,0.39997285048180453,,,,
110,,,,0.45120562321528856,,,,
111,,,,0.0,,,,
112,,,,0.6249762018062518,,,,
113,,,,0.4302615252062343,,,,
114,,,,0.8083709889584176,,,,
115,,,,0.5668330002485501,,,,
116,,,,0.7559751517364844,,,,
117,,,,0.5265928425263058,,,,
118,,,,0.896202205844042,,,,
